review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,77,229,5,Podría mejorar,Cumple con lo prometido.,false,44,2023-12-16
2,28,119,5,Buena calidad,Cumple con lo prometido.,true,45,2024-01-06
3,16,75,3,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,47,2024-02-26
4,26,244,3,Buena calidad,Cumple con lo prometido.,false,16,2023-10-09
5,91,205,1,Buena calidad,Llegó a tiempo y en perfecto estado.,true,46,2023-04-17
6,30,164,1,Podría mejorar,El producto es correcto pero la entrega tardó.,true,46,2023-11-08
7,48,125,5,No tan bueno,Llegó a tiempo y en perfecto estado.,true,12,2025-12-29
8,97,238,1,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,39,2026-01-08
9,73,164,3,Podría mejorar,Cumple con lo prometido.,false,18,2023-05-16
10,6,111,2,Recomendado,Excelente relación calidad-precio.,true,45,2025-11-09
11,8,192,4,No tan bueno,Bueno pero esperaba un poco más.,true,8,2024-06-18
12,86,48,4,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,36,2024-08-15
13,45,311,3,Cumple expectativas,Muy buena calidad por el precio.,false,22,2025-01-02
14,43,296,5,Excelente producto,Bueno pero esperaba un poco más.,true,33,2024-07-07
15,55,213,2,Podría mejorar,No cumplió mis expectativas.,true,30,2025-02-15
16,47,82,2,Recomendado,Bueno pero esperaba un poco más.,false,12,2024-12-21
17,11,111,3,Muy bueno,Llegó a tiempo y en perfecto estado.,true,9,2024-06-19
18,46,77,3,Recomendado,Cumple con lo prometido.,true,1,2024-08-13
19,51,119,1,Recomendado,Excelente relación calidad-precio.,true,23,2024-05-24
20,20,317,2,Buena calidad,Llegó a tiempo y en perfecto estado.,true,1,2025-09-22
21,61,250,2,Cumple expectativas,Llegó a tiempo y en perfecto estado.,false,14,2023-06-09
22,28,241,4,Muy bueno,Muy buena calidad por el precio.,true,45,2024-04-19
23,89,5,5,Satisfecho,El producto es correcto pero la entrega tardó.,false,34,2023-04-19
24,17,332,3,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,26,2025-07-01
25,9,35,5,No tan bueno,Cumple con lo prometido.,true,27,2023-05-31
26,18,294,2,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",true,2,2024-03-11
27,82,190,5,Satisfecho,Cumple con lo prometido.,false,43,2023-12-21
28,90,178,2,No tan bueno,Bueno pero esperaba un poco más.,false,13,2026-02-05
29,84,132,1,Podría mejorar,Cumple con lo prometido.,false,29,2026-01-12
30,95,24,5,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",true,14,2024-02-27
31,7,226,2,No tan bueno,Cumple con lo prometido.,false,8,2025-10-01
32,7,29,2,No tan bueno,No cumplió mis expectativas.,true,19,2024-01-07
33,72,164,1,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",false,48,2024-05-17
34,67,244,5,Satisfecho,Cumple con lo prometido.,false,5,2023-10-26
35,9,175,3,Cumple expectativas,Excelente relación calidad-precio.,true,2,2024-09-24
36,54,172,4,Muy bueno,No cumplió mis expectativas.,false,40,2023-01-11
37,100,9,3,Satisfecho,El producto es correcto pero la entrega tardó.,true,41,2023-03-01
38,80,259,3,Satisfecho,No cumplió mis expectativas.,true,47,2023-04-12
39,40,121,1,Podría mejorar,Excelente relación calidad-precio.,false,28,2024-08-15
40,66,169,4,Podría mejorar,Excelente relación calidad-precio.,false,11,2023-09-25
41,22,298,4,Recomendado,El producto es correcto pero la entrega tardó.,true,13,2025-08-11
42,3,53,4,Muy bueno,No cumplió mis expectativas.,true,14,2025-12-22
43,84,81,3,Cumple expectativas,Cumple con lo prometido.,true,46,2026-01-16
44,11,43,2,No tan bueno,Llegó a tiempo y en perfecto estado.,true,13,2025-08-05
45,85,64,3,Muy bueno,Excelente relación calidad-precio.,true,13,2025-11-03
46,93,2,5,Muy bueno,Cumple con lo prometido.,true,34,2025-01-30
47,87,101,2,Satisfecho,Llegó a tiempo y en perfecto estado.,true,12,2023-11-13
48,74,132,2,Excelente producto,Cumple con lo prometido.,false,39,2025-05-03
49,74,167,5,Podría mejorar,El producto es correcto pero la entrega tardó.,false,31,2024-12-26
50,8,245,1,Satisfecho,No cumplió mis expectativas.,true,4,2026-02-17
51,34,117,5,Recomendado,Excelente relación calidad-precio.,true,47,2024-03-11
52,61,92,4,Excelente producto,No cumplió mis expectativas.,false,31,2024-01-17
53,93,307,4,Muy bueno,Muy buena calidad por el precio.,true,29,2023-11-25
54,33,212,5,Recomendado,Bueno pero esperaba un poco más.,true,26,2024-11-04
55,62,223,4,Muy bueno,Cumple con lo prometido.,true,11,2023-12-28
56,27,218,3,Podría mejorar,Cumple con lo prometido.,false,3,2023-06-09
57,15,305,4,Satisfecho,El producto es correcto pero la entrega tardó.,true,50,2023-09-04
58,96,30,2,Recomendado,Muy buena calidad por el precio.,false,4,2023-01-01
59,32,277,4,Satisfecho,Bueno pero esperaba un poco más.,false,39,2025-08-29
60,43,223,3,No tan bueno,Llegó a tiempo y en perfecto estado.,true,15,2024-07-10
61,10,190,3,No tan bueno,Cumple con lo prometido.,true,30,2023-01-23
62,88,169,1,Cumple expectativas,No cumplió mis expectativas.,true,29,2024-12-11
63,71,27,2,Excelente producto,No cumplió mis expectativas.,true,26,2025-01-05
64,10,104,1,Buena calidad,Cumple con lo prometido.,false,6,2025-03-11
65,23,293,3,Muy bueno,No cumplió mis expectativas.,true,23,2025-09-03
66,35,237,2,Excelente producto,El producto es correcto pero la entrega tardó.,true,7,2026-01-06
67,78,313,5,Podría mejorar,Llegó a tiempo y en perfecto estado.,true,40,2024-09-11
68,57,204,1,Satisfecho,Llegó a tiempo y en perfecto estado.,true,27,2023-11-01
69,73,90,3,No tan bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,16,2023-02-17
70,47,193,4,Muy bueno,Muy buena calidad por el precio.,true,38,2025-12-30
71,75,229,4,Buena calidad,Excelente relación calidad-precio.,false,17,2026-02-21
72,1,163,1,Podría mejorar,No cumplió mis expectativas.,true,50,2023-10-02
73,88,214,5,No tan bueno,Bueno pero esperaba un poco más.,false,31,2023-03-21
74,59,201,1,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,34,2025-04-22
