product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Elite Kit 1,Descripción detallada del producto 1,4,2,4,260.57,148.52,32.9,true,2023-07-16,2026-02-21
2,SKU-000002,Mini Producto 2,Descripción detallada del producto 2,8,3,6,135.97,81.58,16.5,false,2022-07-31,2024-09-26
3,SKU-000003,Elite Set 3,Descripción detallada del producto 3,5,15,5,301.31,183.8,34.4,true,2022-03-10,2024-11-01
4,SKU-000004,Mega Equipo 4,Descripción detallada del producto 4,9,7,8,32.34,14.88,37.9,true,2023-07-24,2025-06-14
5,SKU-000005,Max Equipo 5,Descripción detallada del producto 5,8,10,3,478.84,258.57,14.4,true,2023-04-03,2024-09-20
6,SKU-000006,Max Gadget 6,Descripción detallada del producto 6,3,14,3,277.3,146.97,19.1,false,2022-04-28,2025-11-15
7,SKU-000007,Mini Dispositivo 7,Descripción detallada del producto 7,7,7,8,193.83,100.79,48.6,true,2022-04-05,2025-09-21
8,SKU-000008,Mini Dispositivo 8,Descripción detallada del producto 8,9,13,7,490.88,319.07,34.3,true,2023-12-31,2025-01-19
9,SKU-000009,Super Equipo 9,Descripción detallada del producto 9,9,6,6,112.79,64.29,38,true,2023-09-28,2024-05-07
10,SKU-000010,Premium Pack 10,Descripción detallada del producto 10,6,12,1,104.69,70.14,1.4,true,2023-01-12,2024-01-05
11,SKU-000011,Max Herramienta 11,Descripción detallada del producto 11,7,10,4,80.79,50.9,29.6,true,2023-11-27,2024-07-31
12,SKU-000012,Super Widget 12,Descripción detallada del producto 12,3,4,3,155.89,71.71,18.8,true,2023-10-11,2025-08-12
13,SKU-000013,Mini Gadget 13,Descripción detallada del producto 13,4,13,3,82.49,33,22.7,true,2023-08-14,2024-02-05
14,SKU-000014,Premium Producto 14,Descripción detallada del producto 14,10,2,6,126.22,58.06,40.2,true,2023-12-18,2025-10-20
15,SKU-000015,Mega Kit 15,Descripción detallada del producto 15,8,7,7,480.15,192.06,12.1,true,2022-12-08,2024-12-24
16,SKU-000016,Mega Artículo 16,Descripción detallada del producto 16,7,7,1,326.89,205.94,25.1,true,2023-01-06,2026-02-15
17,SKU-000017,Ultra Equipo 17,Descripción detallada del producto 17,6,11,1,68.92,46.18,4.3,true,2023-05-01,2024-03-22
18,SKU-000018,Mega Producto 18,Descripción detallada del producto 18,9,7,7,111.06,75.52,7.9,true,2023-09-05,2024-08-29
19,SKU-000019,Premium Equipo 19,Descripción detallada del producto 19,5,11,8,475.4,299.5,49.4,true,2022-10-30,2024-05-13
20,SKU-000020,Elite Widget 20,Descripción detallada del producto 20,8,12,3,44.45,18.67,28.9,true,2022-08-13,2024-11-28
21,SKU-000021,Smart Widget 21,Descripción detallada del producto 21,5,12,5,378.89,231.12,0.7,true,2022-04-11,2024-11-20
